Date,PredVolMean_GARCH,PredVolQ025_GARCH,PredVolQ975_GARCH,ActualReturn_GARCH,ActualAbsReturn_GARCH,ActualSqReturn_GARCH,WindowAcceptRate,PilotAcceptRate_GARCH,PredVolMean_SV,PredVolQ025_SV,PredVolQ975_SV,ActualReturn_SV,ActualAbsReturn_SV,ActualSqReturn_SV,ParamAcceptRate,LatentAcceptRate,PilotAcceptRate_SV
2020-05-26,0.0120247813927328,0.0099626385163971,0.0139780639486395,0.011898748343922,0.011898748343922,0.0001415802121519,0.6925,0.9186666666666666,0.0146181332992332,0.0051092468409844,0.0304175066189427,0.011898748343922,0.011898748343922,0.0001415802121519,0.6206666666666667,0.3671233333333333,0.8053333333333333
2020-05-27,0.0122728185745213,0.0109762709373701,0.013837760361763,0.0144029108127758,0.0144029108127758,0.0002074438398807,0.6375,0.9106666666666666,0.0170213969298825,0.0056499090500857,0.0444335591817031,0.0144029108127758,0.0144029108127758,0.0002074438398807,0.6816666666666666,0.3992666666666666,0.8166666666666667
2020-05-28,0.013106825447468,0.0120139382774168,0.0144305575438026,-0.0024256760024579,0.0024256760024579,5.883904068900603e-06,0.7265,0.9006666666666666,0.0152306938648438,0.0063357284672972,0.0378258653819856,-0.0024256760024579,0.0024256760024579,5.883904068900603e-06,0.678,0.4053,0.7953333333333333
2020-05-29,0.0110959411207218,0.0096426827937053,0.0128956115849099,0.0044852568747694,0.0044852568747694,2.011752923266621e-05,0.7465,0.904,0.0148273463329744,0.005980041553995,0.0336737119738502,0.0044852568747694,0.0044852568747694,2.011752923266621e-05,0.6843333333333333,0.38346,0.7566666666666667
2020-06-01,0.0099224731935028,0.0081608116453233,0.012075865610786,0.0034286798008258,0.0034286798008258,1.1755845176590876e-05,0.7505,0.9206666666666666,0.0110803015664491,0.0041318938182236,0.0239201769996007,0.0034286798008258,0.0034286798008258,1.1755845176590876e-05,0.684,0.36131,0.8206666666666667
2020-06-02,0.0089195434605614,0.007069544941523,0.011125131023706,0.0078617706048601,0.0078617706048601,6.18074370434424e-05,0.569,0.898,0.0102950747633319,0.0032561478972895,0.0223242490112785,0.0078617706048601,0.0078617706048601,6.18074370434424e-05,0.7156666666666667,0.3893933333333333,0.8033333333333333
2020-06-03,0.0092700778710672,0.0077128890268499,0.01128183245297,0.0132411341350254,0.0132411341350254,0.0001753276331817,0.63625,0.9093333333333332,0.0090706542644677,0.0035636273526423,0.0208946587458771,0.0132411341350254,0.0132411341350254,0.0001753276331817,0.635,0.4354366666666667,0.7913333333333333
2020-06-04,0.0111245319021283,0.009908618455933,0.0127459235090157,-0.0036899257611473,0.0036899257611473,1.3615552122779188e-05,0.71875,0.9166666666666666,0.012565655691316,0.005263994331491,0.0249888260972591,-0.0036899257611473,0.0036899257611473,1.3615552122779188e-05,0.636,0.4107366666666667,0.7893333333333333
2020-06-05,0.0099031897100399,0.0085107150101077,0.0116648689801321,0.0255584761440973,0.0255584761440973,0.0006532357028083,0.72025,0.9073333333333332,0.0123790742257324,0.0039256832906602,0.0280993164039098,0.0255584761440973,0.0255584761440973,0.0006532357028083,0.6513333333333333,0.3930066666666666,0.7873333333333333
2020-06-08,0.01644548699598,0.0142944135478151,0.0190099913099591,0.0116541197282675,0.0116541197282675,0.0001358185066407,0.7705,0.922,0.0144495219943386,0.0067213406984116,0.0277264620672728,0.0116541197282675,0.0116541197282675,0.0001358185066407,0.6373333333333333,0.35552,0.8113333333333334
