Date,PredVolMean,PredVolQ025,PredVolQ975,ActualReturn,ActualAbsReturn,ActualSqReturn,ParamAcceptRate,LatentAcceptRate,PilotAcceptRate
2020-05-26,0.014618133299233246,0.005109246840984477,0.030417506618942738,0.011898748343922004,0.011898748343922004,0.00014158021215198663,0.6206666666666667,0.36712333333333336,0.8053333333333333
2020-05-27,0.017021396929882547,0.005649909050085759,0.04443355918170317,0.014402910812775805,0.014402910812775805,0.0002074438398807742,0.6816666666666666,0.39926666666666666,0.8166666666666667
2020-05-28,0.015230693864843887,0.006335728467297259,0.037825865381985666,-0.002425676002457996,0.002425676002457996,5.883904068900603e-06,0.678,0.4053,0.7953333333333333
2020-05-29,0.014827346332974438,0.005980041553995075,0.033673711973850294,0.0044852568747694044,0.0044852568747694044,2.0117529232666206e-05,0.6843333333333333,0.38346,0.7566666666666667
2020-06-01,0.01108030156644915,0.0041318938182236375,0.023920176999600796,0.003428679800825804,0.003428679800825804,1.1755845176590876e-05,0.684,0.36131,0.8206666666666667
2020-06-02,0.010295074763331954,0.0032561478972895977,0.022324249011278576,0.007861770604860104,0.007861770604860104,6.18074370434424e-05,0.7156666666666667,0.3893933333333333,0.8033333333333333
2020-06-03,0.00907065426446777,0.00356362735264237,0.020894658745877134,0.013241134135025404,0.013241134135025404,0.00017532763318173496,0.635,0.4354366666666667,0.7913333333333333
2020-06-04,0.012565655691316091,0.005263994331491016,0.02498882609725919,-0.0036899257611473957,0.0036899257611473957,1.3615552122779187e-05,0.636,0.4107366666666667,0.7893333333333333
2020-06-05,0.012379074225732496,0.0039256832906602755,0.028099316403909894,0.025558476144097304,0.025558476144097304,0.000653235702808391,0.6513333333333333,0.39300666666666667,0.7873333333333333
2020-06-08,0.014449521994338667,0.006721340698411601,0.02772646206727288,0.011654119728267505,0.011654119728267505,0.00013581850664079386,0.6373333333333333,0.35552,0.8113333333333334
2020-06-09,0.013805052014129016,0.006148368881550418,0.026392209806520215,-0.008145280097260395,0.008145280097260395,6.634558786282632e-05,0.6726666666666666,0.36411,0.8006666666666666
2020-06-10,0.013588435975527346,0.00518786325341117,0.03072526253528478,-0.005642792412720496,0.005642792412720496,3.184110621305599e-05,0.624,0.40652,0.7966666666666666
2020-06-11,0.013402704269332086,0.005475194800303948,0.025955170394361533,-0.0610682296738274,0.0610682296738274,0.0037293286754953333,0.629,0.32738333333333336,0.818
2020-06-12,0.025213055130053334,0.01108871041578209,0.05192196469555124,0.012660749927673205,0.012660749927673205,0.00016029458873107705,0.7106666666666667,0.39964333333333335,0.7913333333333333
2020-06-15,0.02168905814367404,0.00886957612899931,0.04550929515788385,0.007962324140636703,0.007962324140636703,6.339860572056602e-05,0.6866666666666666,0.3559466666666667,0.822
2020-06-16,0.023717346206347488,0.009420792161271433,0.051029489465075156,0.018469316189172004,0.018469316189172004,0.0003411156404956111,0.6446666666666667,0.36934,0.7873333333333333
2020-06-17,0.023010188890604175,0.009376354261043586,0.051425288678377284,-0.003922332910167896,0.003922332910167896,1.5384695458186154e-05,0.7396666666666667,0.3986266666666667,0.7986666666666666
2020-06-18,0.016175006081617493,0.006447931743644408,0.03454429000283188,0.00027850672626320445,0.00027850672626320445,7.756599657384749e-08,0.634,0.4058233333333333,0.8133333333333334
2020-06-19,0.016060421651640754,0.006927966906194752,0.03319564136855799,-0.005981050243212196,0.005981050243212196,3.577296201182867e-05,0.681,0.38467,0.8033333333333333
2020-06-22,0.011980883716392363,0.005091705179053729,0.02425096933115481,0.006158556619119804,0.006158556619119804,3.792781963090435e-05,0.6473333333333333,0.35790333333333335,0.7906666666666666
2020-06-23,0.014012857297646284,0.005537425139225299,0.02829693838183024,0.003982632513945204,0.003982632513945204,1.5861361741133494e-05,0.6296666666666667,0.38021666666666665,0.7953333333333333
2020-06-24,0.01268963402354436,0.004629947661690341,0.029342411677984032,-0.026510802273200795,0.026510802273200795,0.0007028226371687485,0.735,0.37178666666666665,0.7986666666666666
2020-06-25,0.019651230570205857,0.006724263491231602,0.04488307223037005,0.010584291050679604,0.010584291050679604,0.00011202721704549635,0.6043333333333333,0.40184,0.7986666666666666
2020-06-26,0.015754409013262936,0.007093522669005475,0.03233835591613288,-0.024840740952369596,0.024840740952369596,0.000617062411062732,0.683,0.3776366666666667,0.7913333333333333
2020-06-29,0.01652741867359452,0.007528838180761939,0.03452829409745515,0.014263351435995004,0.014263351435995004,0.00020344319418670075,0.6396666666666667,0.42002666666666666,0.774
2020-06-30,0.01754685501080904,0.0074543384647688515,0.03423778656542622,0.014976812758217004,0.014976812758217004,0.00022430492039469163,0.7036666666666667,0.39018,0.8113333333333334
2020-07-01,0.019109139048301683,0.007598383366391901,0.040160915689414795,0.004694027298332004,0.004694027298332004,2.2033892277486053e-05,0.671,0.37450666666666665,0.8146666666666667
2020-07-02,0.014931611677304602,0.005820071280530774,0.0320835192692525,0.004215433799278404,0.004215433799278404,1.776988211609876e-05,0.719,0.39764666666666665,0.784
2020-07-06,0.015230296147717702,0.005723166503362464,0.033399420069550025,0.015441394154624703,0.015441394154624703,0.00023843665343847793,0.632,0.37344,0.7886666666666666
2020-07-07,0.016526753748021174,0.0076359364520758284,0.029051885588940608,-0.011193014547181995,0.011193014547181995,0.00012528357465342777,0.681,0.33902333333333334,0.806
2020-07-08,0.014691655381732432,0.00684101619112273,0.02758811087315634,0.007481449585891704,0.007481449585891704,5.597208790623915e-05,0.653,0.37921666666666665,0.808
2020-07-09,0.017661791219219587,0.008036806411867459,0.03356451228780655,-0.005975128153733095,0.005975128153733095,3.570215645353387e-05,0.58,0.31481,0.812
2020-07-10,0.016089454666057053,0.007580358947034183,0.027629785259962594,0.010096273096904505,0.010096273096904505,0.00010193473044727767,0.697,0.33691,0.772
2020-07-13,0.014615526714715528,0.006390534726234119,0.028264404579999087,-0.009722181893597295,0.009722181893597295,9.452082077219108e-05,0.7336666666666667,0.32033666666666666,0.792
2020-07-14,0.013762782837978825,0.0069252676872311085,0.023676262287480102,0.013001763905365404,0.013001763905365404,0.00016904586465086265,0.5936666666666667,0.30162666666666665,0.822
2020-07-15,0.01725036159862679,0.00866398368311728,0.03443315264409248,0.008725520258816503,0.008725520258816503,7.613470378701722e-05,0.6303333333333333,0.29009,0.8066666666666666
2020-07-16,0.010523677097198491,0.005241737486820234,0.018594708274421966,-0.003727451891653696,0.003727451891653696,1.3893897604592715e-05,0.629,0.28423,0.7926666666666666
2020-07-17,0.011551050384542077,0.006578224901833983,0.02555013647106969,0.002529025910045004,0.002529025910045004,6.395972053678961e-06,0.6916666666666667,0.25537,0.806
2020-07-20,0.011226337841423722,0.005873511911876022,0.019663271648026576,0.008056260577601804,0.008056260577601804,6.490333449422095e-05,0.6823333333333333,0.27881666666666666,0.79
2020-07-21,0.011089862271147062,0.005023902744523197,0.018670431265947945,0.0013620926570215046,0.0013620926570215046,1.855296406311902e-06,0.663,0.2969,0.77
2020-07-22,0.01034681244352413,0.004624554019189701,0.018198615290835482,0.005415093916935304,0.005415093916935304,2.9323242129229732e-05,0.6593333333333333,0.29761333333333334,0.8066666666666666
2020-07-23,0.0075506348223317215,0.0034461403912751103,0.013207581384795294,-0.012711915089785296,0.012711915089785296,0.0001615927852499111,0.664,0.29223666666666664,0.8093333333333333
2020-07-24,0.010398754047710007,0.004665740515643067,0.01929636073383768,-0.006525176701814596,0.006525176701814596,4.257793098990401e-05,0.6333333333333333,0.3231,0.814
2020-07-27,0.011452629793125479,0.005180014357367859,0.020229626400236567,0.007052392143943804,0.007052392143943804,4.9736234951960285e-05,0.6353333333333333,0.28880333333333336,0.8446666666666667
2020-07-28,0.009596895998094613,0.0043986265458179335,0.023855263613690773,-0.0068099720961847954,0.0068099720961847954,4.637571995081554e-05,0.6386666666666667,0.27702333333333334,0.784
2020-07-29,0.009476937613659085,0.004524137859476773,0.018915675059987123,0.012036246674204004,0.012036246674204004,0.00014487123400228695,0.6206666666666667,0.31664333333333333,0.804
2020-07-30,0.01002691229685215,0.005184658772148069,0.01701969622665891,-0.004072838440993295,0.004072838440993295,1.6588012966432698e-05,0.6626666666666666,0.2774466666666667,0.8026666666666666
2020-07-31,0.011248394615293483,0.005639215094158585,0.018909788576864994,0.007325699564637704,0.007325699564637704,5.3665874111333055e-05,0.6253333333333333,0.32688,0.8086666666666666
2020-08-03,0.008570891183230685,0.00473234139078911,0.014410077222908648,0.006839825986820105,0.006839825986820105,4.678321952997962e-05,0.556,0.25522,0.816
2020-08-04,0.009390167726163566,0.004061291208845969,0.018182303323990366,0.003289886348595004,0.003289886348595004,1.082335218667177e-05,0.6743333333333333,0.2942266666666667,0.81
2020-08-05,0.009293859090901444,0.0050377007091069745,0.016061568271525568,0.006093623757979404,0.006093623757979404,3.7132250503811037e-05,0.64,0.25804,0.76
2020-08-06,0.007719802017595417,0.0039618715992316535,0.015648155203632715,0.006091589343126304,0.006091589343126304,3.710746072528995e-05,0.7006666666666667,0.28196333333333334,0.784
2020-08-07,0.007075831333218254,0.0038485697854889773,0.011421048187970117,0.0003172925924181045,0.0003172925924181045,1.0067458920340137e-07,0.629,0.26510666666666666,0.812
2020-08-10,0.0060069983521046704,0.0026299838702170514,0.010008830865103444,0.0024229285958534044,0.0024229285958534044,5.8705829806041495e-06,0.6296666666666667,0.2734566666666667,0.8126666666666666
2020-08-11,0.007086616090605887,0.0029873392962489727,0.012547408862871577,-0.008316592078915696,0.008316592078915696,6.91657038070833e-05,0.564,0.29329333333333335,0.842
2020-08-12,0.006900276071154185,0.004068921237582872,0.011501329492240458,0.013583965616075003,0.013583965616075003,0.00018452412185870795,0.6533333333333333,0.24664666666666665,0.7946666666666666
2020-08-13,0.008932432991438217,0.005081256112686147,0.014916946596840291,-0.0023648093536950956,0.0023648093536950956,5.592323279323816e-06,0.67,0.2757733333333333,0.7653333333333333
2020-08-14,0.008497943765822,0.004782195788199633,0.01364041624691562,-0.00048743407381749554,0.00048743407381749554,2.3759197631831969e-07,0.6123333333333333,0.27820333333333336,0.81
2020-08-17,0.007123036412715425,0.0036498206127964948,0.011037153884544994,0.002390640829884904,0.002390640829884904,5.715163577512783e-06,0.635,0.25843333333333335,0.816
2020-08-18,0.005859415672612462,0.003111327022570078,0.01192075192312066,0.0019852037422783044,0.0019852037422783044,3.941033898355784e-06,0.606,0.28198666666666666,0.8133333333333334
2020-08-19,0.006949337566468145,0.0029058077244574834,0.014272693225016,-0.004729660022720496,0.004729660022720496,2.2369683930520442e-05,0.5526666666666666,0.28922333333333333,0.7726666666666666
2020-08-20,0.0061155993869314055,0.00289285492349614,0.010998402000927398,0.002838118090807604,0.002838118090807604,8.0549142973694e-06,0.7083333333333334,0.3224,0.794
2020-08-21,0.00702805560265259,0.0025076048466298574,0.015003155385869767,0.0031196633054339042,0.0031196633054339042,9.732299139270793e-06,0.6156666666666667,0.38537,0.842
2020-08-24,0.006807431171493661,0.002860978489424047,0.011493526892195096,0.009678078687365005,0.009678078687365005,9.366520707882874e-05,0.711,0.2757966666666667,0.7853333333333333
2020-08-25,0.006875935830784201,0.003783677296264641,0.011184616701157878,0.003274363068001604,0.003274363068001604,1.0721453501092878e-05,0.7156666666666667,0.28789333333333333,0.8166666666666667
2020-08-26,0.006137583229240595,0.002905717088609891,0.010977215059984164,0.009828464667302904,0.009828464667302904,9.659871771642159e-05,0.624,0.3048633333333333,0.7913333333333333
2020-08-27,0.008097587511527417,0.0045079139318580435,0.014487643900138342,0.0013561093542706045,0.0013561093542706045,1.8390325807402358e-06,0.7053333333333334,0.2816,0.798
2020-08-28,0.006359288027363881,0.00382266659797639,0.011028957675878212,0.0063944661720317045,0.0063944661720317045,4.08891976252578e-05,0.6423333333333333,0.26818333333333333,0.7753333333333333
2020-08-31,0.006742071376110145,0.003890014509372626,0.012483831917746033,-0.002512911853046996,0.002512911853046996,6.3147259811840865e-06,0.6266666666666667,0.28444,0.8193333333333334
2020-09-01,0.007533775279678573,0.004248873876882794,0.014702114459391546,0.007181294743167404,0.007181294743167404,5.157099418824379e-05,0.631,0.28736666666666666,0.792
2020-09-02,0.006956984167898109,0.003609690368656287,0.014442442230323524,0.014933513466331204,0.014933513466331204,0.0002230098244490954,0.582,0.26108333333333333,0.8006666666666666
2020-09-03,0.00840878200642507,0.004920948459141317,0.014696883660855881,-0.0360731308197238,0.0360731308197238,0.001301270767136907,0.611,0.32453333333333334,0.8246666666666667
2020-09-04,0.012868688855720841,0.006643318852240054,0.024990789538763356,-0.008481817431813596,0.008481817431813596,7.194122694661698e-05,0.5643333333333334,0.26834,0.8173333333333334
2020-09-08,0.01143434770053251,0.006154914279409071,0.01939167964783617,-0.028464365764005194,0.028464365764005194,0.000810220118347071,0.6266666666666667,0.28123,0.8006666666666666
2020-09-09,0.013965617163632553,0.009004281016696826,0.02158470760455713,0.019629223984641803,0.019629223984641803,0.00038530643423923704,0.64,0.24725666666666668,0.794
2020-09-10,0.013215773846916775,0.00818480212828577,0.02247849300037817,-0.018056782602933995,0.018056782602933995,0.00032604739796961976,0.6793333333333333,0.25830333333333333,0.7933333333333333
2020-09-11,0.014125833694306485,0.00872712561652607,0.02426520131684714,0.00021739348054880444,0.00021739348054880444,4.7259925385123415e-08,0.6636666666666666,0.24844666666666668,0.832
2020-09-14,0.011676728394409135,0.006470778976521439,0.019157088124926554,0.012345798347484404,0.012345798347484404,0.00015241873683674863,0.6293333333333333,0.28772333333333333,0.78
2020-09-15,0.013225983992714954,0.0061046269829910585,0.02510360129048554,0.0048902492529611045,0.0048902492529611045,2.391453775608664e-05,0.627,0.2851166666666667,0.7946666666666666
2020-09-16,0.01342647319486725,0.0076354352136288675,0.021789560020160633,-0.0049451835696902955,0.0049451835696902955,2.4454840537934854e-05,0.5776666666666667,0.27953333333333336,0.7973333333333333
2020-09-17,0.011506494570220899,0.006376808107203764,0.019470884407164577,-0.008763486206090895,0.008763486206090895,7.679869048434539e-05,0.6133333333333333,0.3327,0.7666666666666667
2020-09-18,0.011520570644616654,0.007255834523525844,0.01755465561108511,-0.011561113625366996,0.011561113625366996,0.0001336593482586464,0.5696666666666667,0.23725333333333334,0.826
2020-09-21,0.012762565250431365,0.007388959846403653,0.02215034565638969,-0.011954100704836195,0.011954100704836195,0.00014290052366136522,0.542,0.2627566666666667,0.816
2020-09-22,0.01160319352386713,0.006558427151873706,0.020439574866479286,0.010147479720837604,0.010147479720837604,0.00010297134468481043,0.6503333333333333,0.2679933333333333,0.7913333333333333
2020-09-23,0.010387248988657009,0.005142645643744398,0.018996954944053963,-0.024322875591912596,0.024322875591912596,0.0005916022770596575,0.5716666666666667,0.4022966666666667,0.8106666666666666
2020-09-24,0.012354064770282404,0.006854205810715925,0.02041598806424549,0.002667468877090504,0.002667468877090504,7.115390210246474e-06,0.6026666666666667,0.33763,0.8233333333333334
2020-09-25,0.011983332592882544,0.00784519878008358,0.018201150449401522,0.015534902546649906,0.015534902546649906,0.00024133319713390972,0.6563333333333333,0.26091333333333333,0.826
2020-09-28,0.011639418749026173,0.007300986668064881,0.020014271624910596,0.015666655176315904,0.015666655176315904,0.0002454440844135859,0.6813333333333333,0.27421,0.7866666666666666
2020-09-29,0.01358970257941968,0.007311045267484563,0.02302557366026514,-0.005139819381982396,0.005139819381982396,2.6417743279401895e-05,0.64,0.3058266666666667,0.816
2020-09-30,0.014207554465780859,0.007780254443726804,0.02369148854303226,0.007904305890841104,0.007904305890841104,6.247805161598538e-05,0.645,0.3228066666666667,0.808
2020-10-01,0.011902474113196615,0.006498471747975306,0.019285427443474387,0.0049634128867565045,0.0049634128867565045,2.463546748442054e-05,0.6343333333333333,0.29927333333333334,0.798
2020-10-02,0.010209234928638143,0.006012721999267419,0.01677319900802867,-0.009939349543909296,0.009939349543909296,9.879066935600993e-05,0.4666666666666667,0.24822666666666668,0.81
2020-10-05,0.013252605839820505,0.004736003942252443,0.027947071123925735,0.017497572325362403,0.017497572325362403,0.00030616503728128825,0.647,0.36507333333333336,0.796
2020-10-06,0.015897606301864993,0.008821128860118842,0.02742802734947263,-0.014387601065061695,0.014387601065061695,0.00020700306440736443,0.6593333333333333,0.27629,0.8146666666666667
2020-10-07,0.013938056130159374,0.006706316243624116,0.02594251251775593,0.016931627092703003,0.016931627092703003,0.00028667999600635435,0.5746666666666667,0.31572666666666666,0.7693333333333333
2020-10-08,0.014369961906008897,0.007505128785956883,0.025908935547063038,0.007662676217330704,0.007662676217330704,5.871660681164559e-05,0.5746666666666667,0.32395666666666667,0.806
2020-10-09,0.012927953350699807,0.007429860281567367,0.02173417501755151,0.008439558503214305,0.008439558503214305,7.122614772917689e-05,0.6143333333333333,0.25987666666666664,0.792
2020-10-12,0.01215099385573845,0.00705315063180701,0.021812808401829337,0.015966993480785705,0.015966993480785705,0.0002549448808154532,0.638,0.29085333333333335,0.8246666666666667
2020-10-13,0.01348286294221925,0.0067411171786958286,0.025372333110195832,-0.006642428306701696,0.006642428306701696,4.412185380967196e-05,0.6936666666666667,0.3118166666666667,0.7866666666666666
2020-10-14,0.013272492902594578,0.006598091905913857,0.021337037426566483,-0.006960708761597895,0.006960708761597895,4.84514664637857e-05,0.5893333333333334,0.2623533333333333,0.8346666666666667
2020-10-15,0.012627919319642928,0.007296504060170722,0.02121336219697399,-0.0018444601917514956,0.0018444601917514956,3.402033398955964e-06,0.628,0.27741333333333335,0.8093333333333333
